Q1_1	Q1_2	Q1_3	Q2_1	Q2_2	Q2_3	Q3_1	Q3_2	Q3_3	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q5_3	Q6_1	Q6_2	Q6_3	Q7_1	Q7_2	Q7_3	Q8_1	Q8_2	Q8_3	Q9_1	Q9_2	Q9_3	Q10_1	Q10_2	Q10_3	Q11_1	Q11_2	Q11_3
3	2	2	3	4	5	4	3	5	3	2	5	3	2	5	2	1	4	4	4	5	5	5	5	4	4	5	3	2	4	4	3	5
2	2	1	3	4	5	4	4	5	3	4	4	3	2	2	3	1	1	2	3	3	2	3	4	5	4	5	3	3	5	2	4	3
3	5	2	5	5	5	4	5	5	2	2	4	4	3	4	3	2	3	4	3	5	5	5	5	2	2	2	3	3	3	2	2	2
4	4	4	3	3	4	3	3	3	3	4	4	3	4	2	1	1	2	3	3	3	5	5	5	3	3	4	2	2	3	5	5	5
2	2	1	3	2	3	3	1	3	4	4	4	1	1	1	2	1	2	1	1	2	4	4	1	5	5	5	2	3	4	3	3	3
2	4	3	4	5	4	5	5	5	5	5	5	4	4	4	1	2	1	3	2	2	5	5	5	4	3	4	3	2	3	2	2	2
2	4	1	4	4	5	4	5	5	5	2	5	5	2	4	1	1	1	5	3	5	4	5	5	5	3	2	2	1	3	2	1	2
1	2	1	5	5	5	4	5	5	2	2	5	3	3	4	1	1	1	3	3	4	4	4	5	3	2	2	3	1	3	1	2	2
2	3	3	4	4	5	5	5	3	2	2	5	3	2	5	1	1	5	5	5	4	5	5	4	4	3	5	1	2	5	3	2	3
3	4	1	3	3	3	1	2	4	4	5	1	1	2	5	4	3	2	5	4	5	1	2	1	3	4	4	1	4	2	5	5	5
